time,seconds_elapsed,dBFS
1773230505609000000,89.227,-160
1773230505728000000,89.346,-160
1773230505841000000,89.459,-160
1773230505957000000,89.575,-160
1773230506072000000,89.69,-160
1773230506189000000,89.807,-160
1773230506305000000,89.923,-160
1773230506423000000,90.041,-160
1773230506538000000,90.15599975585937,-160
1773230506657000000,90.275,-160
1773230506770000000,90.38799975585937,-160
1773230506878000000,90.49600024414063,-160
1773230506993000000,90.611,-160
1773230507109000000,90.727,-160
1773230507225000000,90.843,-160
1773230507341000000,90.959,-160
1773230507457000000,91.075,-160
1773230507573000000,91.191,-160
1773230507689000000,91.307,-160
1773230507804000000,91.422,-160
1773230507920000000,91.538,-160
1773230508035000000,91.653,-160
1773230508150000000,91.76800024414062,-160
1773230508267000000,91.885,-160
1773230508383000000,92.001,-160
1773230508500000000,92.118,-160
1773230508615000000,92.233,-160
1773230508734000000,92.35200024414063,-160
1773230508848000000,92.466,-160
1773230508964000000,92.582,-160
1773230509080000000,92.698,-160
1773230509200000000,92.818,-160
1773230509312000000,92.93,-160
1773230509429000000,93.047,-160
1773230509544000000,93.162,-160
1773230509663000000,93.281,-160
1773230509781000000,93.399,-160
1773230509893000000,93.511,-160
1773230510009000000,93.627,-160
1773230510125000000,93.743,-160
1773230510241000000,93.859,-160
1773230510357000000,93.975,-160
1773230510473000000,94.091,-160
1773230510591000000,94.209,-160
1773230510705000000,94.323,-160
1773230510824000000,94.442,-160
1773230510938000000,94.55599975585938,-160
1773230511055000000,94.673,-160
1773230511171000000,94.789,-160
1773230511289000000,94.907,-160
1773230511402000000,95.01999975585937,-160
1773230511517000000,95.135,-160
1773230511634000000,95.25199975585937,-160
1773230511750000000,95.36800024414063,-160
1773230511866000000,95.48399975585937,-160
1773230511983000000,95.601,-160
1773230512097000000,95.715,-160
1773230512213000000,95.831,-160
1773230512333000000,95.951,-160
1773230512448000000,96.066,-160
1773230512563000000,96.181,-160
1773230512678000000,96.29600024414063,-160
1773230512792000000,96.41,-160
1773230512909000000,96.527,-160
1773230513025000000,96.643,-160
1773230513141000000,96.759,-160
1773230513258000000,96.87599975585937,-160
1773230513374000000,96.99200024414063,-160
1773230513489000000,97.107,-160
1773230513606000000,97.22400024414063,-160
1773230513722000000,97.33999975585938,-160
1773230513836000000,97.454,-160
1773230513953000000,97.571,-160
1773230514068000000,97.686,-160
1773230514184000000,97.802,-160
1773230514301000000,97.919,-160
1773230514417000000,98.035,-160
1773230514534000000,98.15200024414062,-160
1773230514649000000,98.267,-160
1773230514764000000,98.382,-160
1773230514880000000,98.498,-160
1773230514996000000,98.614,-160
1773230515113000000,98.731,-160
1773230515230000000,98.84800024414062,-160
1773230515344000000,98.962,-160
1773230515461000000,99.079,-160
1773230515577000000,99.195,-160
1773230515693000000,99.311,-160
